Uniprot,Uniprot_Name,Gene
P31749,AKT1_HUMAN,AKT1
P10415,BCL2_HUMAN,BCL2
P38398,BRCA1_HUMAN,BRCA1
P51587,BRCA2_HUMAN,BRCA2
P12830,CADH1_HUMAN,CDH1
P24385,CCND1_HUMAN,CCND1
P30279,CCND2_HUMAN,CCND2
P30281,CCND3_HUMAN,CCND3
P11802,CDK4_HUMAN,CDK4
Q00534,CDK6_HUMAN,CDK6
P16410,CTLA4_HUMAN,CTLA4
P42771,CDN2A_HUMAN,CDKN2A
P35222,CTNB1_HUMAN,CTNNB1
P00533,EGFR_HUMAN,EGFR
P27361,MK03_HUMAN,ERK1
P21860,ERBB3_HUMAN,ERBB3
P11362,FGFR1_HUMAN,FGFR1
Q9BZS1,FOXP3_HUMAN,FOXP3
P10144,GRAB_HUMAN,GZMB
P11166,GTR1_HUMAN,Glut1
P29992,GNA11_HUMAN,GNA11
P50148,GNAQ_HUMAN,GNAQ
Q8TDQ0,HAVR2_HUMAN,Tim3
P46013,KI67_HUMAN,Ki67
P10721,KIT_HUMAN,KIT
P18627,LAG3_HUMAN,LAG3
P17252,KPCA_HUMAN,PRKCA
Q05655,KPCD_HUMAN,PRKCD
Q16655,MAR1_HUMAN,MLANA
P08581,MET_HUMAN,MET
P28482,MK01_HUMAN,MAPK1-ERK2
Q02750,MP2K1_HUMAN,MAP2K1
P36507,MP2K2_HUMAN,MAP2K2
O75030,MITF_HUMAN,MITF
P42345,MTOR_HUMAN,MTOR
P01106,MYC_HUMAN,MYC
P21359,NF1_HUMAN,NF1
P04637,P53_HUMAN,TP53
P42336,PK3CA_HUMAN,PIK3CA
P09874,PARP1_HUMAN,PARP
P12004,PCNA_HUMAN,PCNA
Q9NZQ7,PD1L1_HUMAN,PDL1
Q15116,PDCD1_HUMAN,PD1
P14222,PERF_HUMAN,PRF1
P16234,PGFRA_HUMAN,PDGFRalpha
P40967,PMEL_HUMAN,PMEL
P60484,PTEN_HUMAN,PTEN
P08575,PTPRC_HUMAN,PTPRC
P06400,RB_HUMAN,RB
P04049,RAF1_HUMAN,RAF1
P04271,S100B_HUMAN,S100B
Q12884,SEPR_HUMAN,FAP
P56693,SOX10_HUMAN,SOX10
P48436,SOX9_HUMAN,SOX9
P12931,SRC_HUMAN,SRC
P17643,TYRP1_HUMAN,TYRP1
P30530,UFO_HUMAN,AXL
P08138,TNR16_HUMAN,NGFR
Q9Y5U5,TNR18_HUMAN,GITR  (TNFRSF15)
P43489,TNR4_HUMAN,OX40 (CD134)
P15692,VEGFA_HUMAN,VEGF
Q9H7M9,VISTA_HUMAN,VISTA
